#species_name	AACB_HE	AACB_consistency
Halobacterium_sp_Strain_NRC-1	0.047118734232508556	0.012952492147699191
Haloquadratum_walsbyi	0.030565627810419237	0.009777141062056056
Helicobacter_hepaticus_ATCC51449	0.031896426891802714	0.01608598484081815
Helicobacter_pylori	0.03985444943768553	0.014143043404060722
Herpetosiphon_aurantiacus	0.019573342806226617	0.014308262728092939
Hyperthermus_butylicus	0.014935717603190214	0.01718634799267845
Ignicoccus_hospitalis	0.004708429153585693	0.014024198282761415
Lactobacillus_acidophilus_NCFM	0.03522874668350469	0.011117135311645878
Lactobacillus_johnsonii_NCC533	0.01474221369153668	0.008686970308845932
Lactobacillus_plantarum_WCFS1	0.034260427122730835	0.006417547078569163
Lactococcus_lactis_IL1403	0.03231914711328948	0.013062460441190527
